id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
76, , , , , , r60 , , , r60 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , , , r43 , , , , , , , , , , , , , , , , , , , , , , , , r43 , , , r43 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, s78 , , , , s79 , , , , , , , , , , , , , , s85 , s86 , , , s87 , , , , , , , , , , , , , 146 , 82 , , , , 84 , , , , , , , , , , , , , , , , , , , , , 
79, s78 , , , , s79 , , , , , , , , , , , , , , s85 , s86 , , , s87 , , , , , , , , , , , , 147 , 81 , 82 , 83 , , , 84 , , , , , , , , , , , , , , , , , , , , , 
80, , , , , , s148 , , , , , , , , , , , , , , , , , , , , , , , , , s149 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , , , r41 , , r41 , , , , , , , , , , , , , , , , , , , , , , , , , r41 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82, , s90 , , r45 , , r45 , , , , , , , s91 , s92 , , s93 , s94 , s95 , , , , , , , , , , , , , r45 , , , , , , , , , , , , , , , , , , , , , , 150 , , , , , , , , , 
83, , , , s151 , , r39 , , , , , , , , , , , , , , , , , , , , , , , , , r39 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, , r48 , , r48 , , r48 , , , , , , , r48 , r48 , , r48 , r48 , r48 , , , , , , , , , , , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, , r47 , , r47 , , r47 , , , , , , , r47 , r47 , , r47 , r47 , r47 , , , , , , , , , , , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, , r46 , , r46 , , r46 , , , , , , , r46 , r46 , , r46 , r46 , r46 , , , , , , , , , , , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87, , r8 , , r8 , , r8 , , , , , , , r8 , r8 , , r8 , r8 , r8 , , , , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, , , r3 , , , , , , , , , , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , , , , , , , , , , , , , , , 152 , , , , , , , , , , , , , , , , 
89, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 153 , , , , , , , , , , , , , , , , 
90, , , , , , , , , , , , , , , , , , , r54 , r54 , , , r54 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91, , , , , , , , , , , , , , , , , , , r55 , r55 , , , r55 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92, , , , , , , , , , , , , , , , , , , r56 , r56 , , , r56 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93, , , , , , , , , , , , , , , , , , , r53 , r53 , , , r53 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94, , , , , , , , , , , , , , , , , , , r57 , r57 , , , r57 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95, , , , , , , , , , , , , , , , , , , r58 , r58 , , , r58 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
96, , , , , , , , , , , , , , , , , , , s156 , s157 , , , s158 , , , , , , , , , , , , , , 154 , , , , 155 , , , , , , , , , , , , , , , , , , , , , 
97, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 159 , , , , , , , , , , , , , , , , 
